class,comid
7,20205470
7,20205476
7,20205478
7,20205482
7,20205484
7,20205486
7,20205488
7,20205490
7,20205494
7,20205508
7,20205514
7,20205520
7,20205524
7,20205532
7,20205536
7,20205542
7,20205546
7,20205556
7,20205560
7,20205566
7,20205568
7,20205576
7,20205578
7,20205580
7,20205584
7,20205588
7,20205590
7,20205594
7,20205600
7,20205602
7,20205608
7,20205610
7,20205614
7,20205620
7,20205624
7,20205626
7,20205630
7,20205636
7,20205640
7,20205644
7,20205646
7,20205650
7,20205652
7,20205654
7,20205658
7,20205662
7,20205672
7,20205678
7,20205686
7,20205688
7,20205690
7,20205692
7,20205694
7,20205698
7,20205700
7,20205702
7,20205704
7,20205706
7,20205710
7,20205712
7,20205722
7,20205728
7,20205734
7,20205736
7,20205738
7,20205748
7,20205766
7,20205770
7,20205778
7,20205780
7,20205782
7,20205792
7,20205794
7,20205796
7,20205798
7,20205800
7,20205802
7,20205804
7,20205806
7,20205812
7,20205814
7,20205818
7,20205824
7,20205828
7,20205830
7,20205832
7,20205834
7,20205838
7,20205840
7,20205844
7,20205852
7,20205856
7,20205870
7,20205872
7,20205884
7,20205898
7,20205914
7,20205926
7,20205928
7,20205940
7,20206494
7,20206498
7,20206500
7,20206510
7,20206546
7,20206560
7,20206568
7,20206574
7,20206602
7,20206614
7,20206622
7,20206628
7,20206634
7,20206644
7,20206648
7,20206650
7,20206654
7,20206656
7,20206664
7,20206672
7,20206680
7,20206682
7,20206686
7,20206688
7,20206692
7,20206706
7,20206720
7,20206750
7,20206752
7,20206762
7,20206764
7,20206766
7,20206842
7,20206848
7,20207500
7,20208300
7,20208308
7,20208312
7,20208318
7,20208324
7,20208332
7,20208334
7,20208346
7,20208356
7,20208362
7,20208370
7,20208374
7,20208378
7,20208386
7,20208388
7,20208394
7,20208396
7,20208398
7,20208408
7,20208410
7,20208412
7,20208416
7,20208428
7,20208458
7,20208460
7,20208472
7,20208476
7,20208480
7,20208490
7,20208494
7,20208498
7,20208500
7,20208504
7,20208508
7,20208512
7,20208524
7,20208532
7,20208536
7,20208542
7,20208562
7,20208564
7,20208568
7,20208570
7,20208580
7,20208592
7,20209076
7,20209086
7,20209098
7,20214532
7,20214536
7,20214538
7,20214544
7,20214546
7,20214976
7,20214978
7,20214984
7,20214988
7,20214992
7,20214994
7,20214998
7,20215000
7,20215002
7,20215004
7,20215016
7,20215030
7,20215044
7,20215048
7,20215050
7,20215056
7,20215058
7,20215064
7,20215066
7,20215068
7,20215070
7,20215072
7,20215088
7,20215092
7,20215096
7,20215098
7,20215102
7,20215108
7,20215110
7,20215112
7,20215122
7,20215130
7,20215144
7,20215148
7,20215156
7,20215158
7,20215162
7,20215170
7,20215174
7,20215178
7,20215180
7,20215182
7,20215186
7,20215188
7,20215190
7,20215202
7,20215206
7,20215208
7,20215212
7,20215248
7,20215256
7,20215258
7,20215260
7,20215264
7,20215276
7,20215286
7,20215290
7,20215296
7,20215310
7,20215312
7,20215316
7,20215318
7,20215326
7,20215342
7,20215346
7,20215356
7,20215376
7,20215416
7,20215438
7,20215446
7,20215452
7,20215456
7,20215464
7,20215466
7,20215476
7,20215500
7,20215520
7,20215524
7,20215526
7,20215532
7,20215538
7,20215548
7,20215550
7,20215556
7,20215578
7,20215596
7,20215624
7,20215648
7,20215658
7,20215672
7,20215696
7,20215750
7,20215766
7,20215800
7,20215806
7,20216062
7,20216066
7,20216072
7,20216078
7,20216082
7,20216086
7,20216088
7,20216094
7,20216116
7,20216118
7,20216128
7,20216130
7,20216140
7,20216148
7,20216150
7,20216152
7,20216230
7,20216266
7,20216276
7,20216360
7,20216676
7,20216684
7,20216686
7,20216690
7,20216692
7,20216712
7,20216714
7,20216720
7,20216724
7,20216726
7,20216728
7,20216734
7,20216736
7,20216738
7,20216740
7,20216742
7,20216754
7,20216758
7,20216764
7,20216766
7,20216768
7,20216770
7,20216788
7,20216792
7,20216796
7,20216800
7,20216802
7,20216804
7,20216808
7,20216810
7,20216818
7,20216822
7,20216824
7,20216828
7,20216836
7,20216838
7,20216846
7,20216854
7,20216856
7,20216860
7,20216862
7,20216866
7,20216868
7,20216874
7,20216878
7,20216888
7,20216896
7,20216902
7,20216906
7,20216914
7,20216916
7,20216922
7,20216924
7,20216926
7,20216930
7,20216932
7,20216938
7,20216942
7,20216944
7,20216950
7,20216952
7,20216982
7,20216996
7,20216998
7,20217004
7,20217012
7,20217014
7,20217016
7,20217026
7,20217028
7,20217030
7,20217036
7,20217038
7,20217042
7,20217044
7,20217046
7,20217054
7,20217056
7,20217074
7,20217632
7,20217638
7,20217640
7,20217644
7,20217648
7,20217650
7,20217652
7,20217656
7,20217658
7,20217672
7,20217722
7,20217736
7,20217740
7,20217742
7,20217746
7,20217758
7,20217760
7,20217762
7,20217764
7,20217766
7,20217768
7,20217770
7,20217772
7,20217774
7,20217796
7,20217800
7,20217802
7,20217806
7,20217810
7,20217816
7,20217820
7,20217822
7,20217824
7,20217844
7,20217846
7,20218014
7,20218020
7,20218024
7,20218030
7,20218034
7,20218590
7,20218594
7,20218598
7,20218600
7,20218608
7,20218612
7,20218614
7,20218686
7,20220438
7,20222737
7,20222741
7,20222743
7,20222753
7,20222769
7,20222779
7,20222789
7,20222795
7,20222799
7,20222815
7,20222841
7,20222861
7,20222867
7,20222875
7,20222877
7,20222903
7,20222913
7,20222919
7,20222931
7,20222935
7,20222947
7,20222949
7,20222951
7,20222953
7,20222987
7,20222993
7,20222999
7,20223011
7,20223013
7,20223019
7,20223031
7,20223033
7,20223039
7,20223041
7,20223047
7,20223053
7,20223059
7,20223063
7,20223065
7,20223069
7,20223071
7,20223083
7,20223085
7,20223087
7,20223091
7,20223103
7,20223105
7,20223111
7,20223115
7,20223117
7,20223123
7,20223127
7,20223129
7,20223139
7,20223141
7,20223143
7,20223299
7,20223307
7,20223309
7,20223329
7,20223339
7,20223345
7,20223361
7,20223365
7,20223379
7,20223381
7,20223383
7,20223385
7,20223555
7,20223557
7,20223577
7,20223589
7,20223603
7,20223623
7,20223631
7,20223639
7,20223645
7,20223649
7,20223651
7,20223675
7,20223703
7,20223713
7,20223721
7,20223725
7,20223745
7,20223749
7,20223799
7,20223811
7,20223817
7,20223823
7,20223835
7,20223847
7,20223851
7,20223853
7,20223861
7,20223869
7,20223871
7,20223893
7,20223897
7,20223905
7,20223917
7,20223923
7,20223927
7,20223943
7,20223969
7,20223995
7,20224001
7,20224019
7,20224065
7,20224079
7,20224081
7,20224199
7,20224203
7,20224207
7,20224215
7,20224221
7,20224225
7,20224227
7,20224229
7,20224233
7,20224241
7,20224247
7,20224253
7,20224337
7,20224339
7,20224341
7,20224343
7,20224349
7,20224355
7,20224357
7,20224369
7,20224371
7,20224373
7,20224381
7,20224383
7,20224385
7,20224395
7,20224397
7,20224401
7,20224403
7,20224617
7,20224619
7,20224645
7,20224647
7,20224649
7,20224651
7,20224655
7,20224657
7,20224659
7,20224661
7,20224663
7,20224665
7,20225005
7,20225035
7,20225051
7,20225059
7,20225061
7,20225073
7,20225083
7,20225625
7,20225637
7,20225653
7,20225657
7,20225661
7,20225665
7,20225667
7,20225671
7,20225683
7,20225685
7,20225687
7,20225689
7,20225691
7,20225695
7,20225697
7,20225703
7,20225705
7,20225707
7,20225709
7,20225711
7,20225713
7,20225731
7,20225735
7,20225737
7,20225739
7,20225741
7,20225745
7,20225747
7,20225759
7,20225765
7,20225771
7,20225777
7,20225797
7,20225805
7,20225809
7,20225811
7,20225815
7,20225819
7,20225821
7,20225825
7,20225837
7,20225845
7,20225849
7,20225851
7,20225855
7,20225859
7,20225875
7,20225883
7,20225911
7,20225913
7,20225915
7,20225919
7,20225923
7,20225925
7,20225927
7,20225929
7,20225931
7,20225935
7,20225939
7,20225947
7,20225949
7,20225951
7,20225955
7,20225961
7,20225965
7,20225967
7,20225969
7,20225971
7,20225973
7,20225977
7,20225979
7,20225983
7,20226003
7,20226007
7,20226011
7,20226015
7,20226023
7,20226025
7,20226027
7,20226041
7,20226043
7,20226053
7,20226055
7,20226061
7,20226063
7,20226073
7,20226077
7,20226079
7,20226081
7,20226087
7,20226095
7,20226097
7,20226099
7,20226101
7,20226105
7,20226111
7,20226113
7,20226115
7,20226119
7,20226121
7,20226125
7,20226129
7,20226135
7,20226137
7,20226143
7,20226145
7,20226147
7,20226151
7,20226163
7,20226169
7,20226171
7,20226177
7,20226185
7,20226187
7,20226189
7,20226191
7,20226193
7,20226199
7,20226203
7,20226205
7,20226211
7,20226241
7,20226243
7,20226469
7,20226473
7,20226477
7,20226479
7,20226483
7,20226503
7,20226525
7,20226531
7,20226533
7,20226543
7,20226551
7,20226553
7,20226555
7,20226559
7,20226561
7,20226563
7,20226565
7,20226569
7,20226571
7,20226573
7,20226575
7,20226577
7,20226579
7,20226581
7,20226583
7,20226591
7,20226593
7,20226595
7,20226597
7,20226599
7,20226601
7,20226603
7,20226605
7,20226607
7,20226841
7,20226843
7,20226849
7,20226855
7,20226857
7,20226859
7,20226861
7,20226863
7,20226865
7,20226867
7,20226871
7,20226891
7,20226899
7,20226905
7,20226907
7,20226917
7,20226919
7,20226923
7,20226935
7,20227483
7,20227485
7,20227489
7,20227491
7,20227555
7,20227561
7,20227565
7,20227569
7,20227597
7,20227601
7,20227605
7,20227625
7,20227629
7,20227631
7,20227633
7,20227637
7,20227639
7,20227641
7,20227643
7,20227645
7,20227649
7,20227653
7,20227659
7,20227661
7,20227667
7,20227669
7,20227671
7,20227673
7,20227677
7,20227683
7,20227685
7,20227689
7,20227691
7,20227693
7,20227697
7,20227705
7,20227707
7,20227709
7,20227711
7,20227713
7,20227715
7,20227719
7,20227721
7,20227723
7,20227727
7,20227729
7,20227731
7,20227733
7,20227735
7,20227737
7,20227743
7,20227745
7,20227749
7,20227751
7,20227753
7,20227777
7,20227781
7,20227783
7,20227785
7,20227787
7,20227789
7,20227797
7,20227799
7,20227807
7,20227809
7,20227817
7,20227821
7,20227823
7,20227833
7,20227837
7,20227839
7,20227843
7,20227847
7,20227851
7,20227855
7,20227861
7,20227869
7,20227871
7,20227875
7,20227877
7,20227879
7,20227885
7,20227895
7,20227907
7,20227909
7,20227913
7,20227915
7,20227917
7,20227919
7,20227923
7,20227927
7,20227929
7,20227931
7,20227949
7,20227955
7,20227959
7,20227973
7,20227975
7,20227979
7,20227985
7,20227989
7,20227995
7,20227997
7,20227999
7,20228003
7,20228005
7,20228007
7,20228009
7,20228011
7,20228013
7,20228015
7,20228017
7,20228021
7,20228025
7,20228037
7,20228045
7,20228047
7,20228055
7,20228059
7,20228061
7,20228063
7,20228069
7,20228075
7,20228079
7,20228081
7,20228083
7,20228085
7,20228087
7,20228089
7,20228091
7,20228099
7,20228103
7,20228105
7,20228107
7,20228109
7,20228113
7,20228115
7,20228119
7,20228135
7,20228137
7,20228145
7,20228147
7,20228149
7,20228155
7,20228159
7,20228163
7,20228169
7,20228177
7,20228179
7,20228199
7,20228225
7,20228227
7,20228235
7,20228247
7,20228249
7,20228251
7,20228257
7,20228259
7,20228277
7,20228279
7,20228285
7,20228297
7,20228301
7,20228303
7,20228307
7,20228309
7,20228315
7,20228317
7,20228319
7,20228329
7,20228339
7,20228341
7,20228343
7,20228345
7,20228347
7,20228349
7,20228367
7,20228369
7,20228373
7,20228375
7,20228379
7,20228381
7,20228385
7,20228387
7,20228389
7,20228391
7,20228393
7,20228395
7,20228397
7,20228399
7,20228401
7,20228405
7,20228407
7,20228417
7,20228421
7,20228423
7,20228425
7,20228427
7,20228429
7,20228431
